State,County,county_geoid,Remove from Map,Percent Students Enrolled in CNC,Students Enrolled in CNC Schools,Number of Districts,Number of Schools,Number of Counselors,Number of Law Enforcement,Sum of Counselors,Number Cop no Counselor Schools,White Students Enrolled,White Students Enrolled in CNC,MTW Status,latitude,longitude,MTW Status,DISTRICT,SCHOOL,MTW Status,Number of Social Workers,Number of Psychologists,Number of Nurses,Number of Teachers,MTW Status,MTW Status
NC,Pamlico,37137,1,48.9%,903,2,5,4,4.6,0,3,1217,561,Matching,35.140717,-76.777343,Matching,Pamlico County Schools,Pamlico County High,Matching,4,1,5,154.17,Matching,Matching
LA,Natchitoches,22069,,48.8%,3330,2,18,11,17,0,11,2639,1564,Matching,31.938943,-93.148154,Matching,Natchitoches Parish,Fairview-Alpha Elementary & Junior High School,Matching,1,1,4,514,Matching,Matching
UT,Grand,49019,1,48.7%,769,2,4,2,3,0,1,1174,556,Matching,38.571898,-109.542931,Matching,GRAND DISTRICT,GRAND COUNTY HIGH,Matching,0,0,0,105.75,Matching,Matching
MI,Clare,26035,1,48.3%,2125,4,14,4.17,4.75,0,6,4118,1989,Matching,44.03,-84.8,Matching,Harrison Community Schools,Harrison Middle School,Matching,2.39,1.49,1.82,249.6,Matching,Matching
ID,Lewis,16061,1,48.1%,340,3,5,0.65,3,0,2,518,227,Matching,46.233792,-116.441682,Matching,HIGHLAND JOINT DISTRICT,HIGHLAND SCHOOL,Matching,0,0.48,0.48,59.2,Matching,Matching
KY,Green,21087,1,48.0%,779,1,4,2,4,0,2,1480,704,Matching,37.255907,-85.489713,Matching,Green County,Green County High School,Matching,0,0,4,116,Matching,Matching
IN,Owen,18119,1,47.7%,1275,1,6,3,11,0,3,2523,1191,Matching,39.29,-86.76,Matching,Spencer-Owen Community Schools,Owen Valley Community High School,Matching,1.83,0.43,3.26,146.7,Matching,Matching
TN,Polk,47139,1,47.7%,1292,1,6,4,4,0,3,2565,1209,Matching,35.022919,-84.383094,Matching,Polk County,Copper Basin High School,Matching,0,0,3,161.25,Matching,Matching
MI,Crawford,26039,,47.7%,796,1,5,6,0.98,0,2,1515,734,Matching,44.669035,-84.718865,Matching,Crawford AuSable Schools,Grayling High School,Matching,5.9,0,0,106,Matching,Matching
UT,Uintah,49047,,47.2%,3450,3,13,11.5,4,0,6,5803,2844,Matching,40.46373,-109.56144,Matching,UINTAH DISTRICT,ASHLEY VALLEY EDUC CTR,Matching,1,2.2,4.3,325.5,Matching,Matching
ID,Oneida,16071,1,47.1%,443,1,5,1.5,1,0,3,884,423,Matching,42.178752,-112.239555,Matching,ONEIDA COUNTY DISTRICT,MALAD SENIOR HIGH SCHOOL,Matching,0,0,0,50.1,Matching,Matching
MI,Cheboygan,26031,1,46.9%,1358,4,8,2,4.48,0,5,2513,1211,Matching,45.631322,-84.495753,Matching,Cheboygan Area Schools,Cheboygan Area High School,Matching,0,0,0,154,Matching,Matching
MN,Pennington,27113,1,46.2%,1121,2,6,3,1,0,2,2079,935,Matching,48.117886,-96.183111,Matching,THIEF RIVER FALLS SCHOOL DISTRICT,LINCOLN SENIOR HIGH,Matching,0,0,1,175.59,Matching,Matching
MN,Chippewa,27023,1,46.2%,852,2,8,2,1,0,3,1498,648,Matching,44.938045,-95.705379,Matching,MONTEVIDEO PUBLIC SCHOOL DISTRICT,MONTEVIDEO SENIOR HIGH,Matching,6.5,1,2,134.32,Matching,Matching
IL,Moultrie,17139,1,46.0%,769,1,6,2,3,0,2,1569,722,Matching,39.713746,-88.627949,Matching,Arthur CUSD 305,Lovington Grade School,Matching,2,2.15,1,116.26,Matching,Matching
IN,Rush,18139,1,45.8%,1075,2,7,3,1.02,0,4,2188,991,Matching,39.64,-85.58,Matching,Rush County Schools,Arlington Elementary School,Matching,4,0,5,151.3,Matching,Matching
IL,Gallatin,17059,1,44.8%,352,1,3,1,2,0,1,741,334,Matching,37.72,-88.24,Matching,Gallatin CUSD 7,Gallatin High School,Matching,1,0,1,53.52,Matching,Matching
LA,Rapides,22079,,44.0%,10853,2,50,22,48,0,29,12649,5098,Matching,31.300066,-92.474666,Matching,Rapides Parish,Alexandria Middle Magnet School,Matching,2,2,19,1643.83,Matching,Matching
IN,Jay,18075,1,43.6%,1529,1,10,4.05,10,0,7,3208,1402,Matching,40.37951,-85.205422,Matching,Jay School Corporation,West Jay County Middle School,Matching,0,0,8.5,219.5,Matching,Matching
IN,Dearborn,18029,,43.4%,2888,2,13,8.5,12,0,7,6328,2743,Matching,39.099656,-84.853075,Matching,Lawrenceburg Com School Corp,Lawrenceburg High School,Matching,3,0,12.5,420.03,Matching,Matching
MN,Hubbard,27057,1,43.3%,1123,3,9,1,4,0,3,2200,964,Matching,46.92,-95.06,Matching,PARK RAPIDS PUBLIC SCHOOL DISTRICT,PARK RAPIDS SENIOR HIGH,Matching,2,1.05,4,176.84,Matching,Matching
MD,Baltimore,24510,,42.8%,36468,3,183,115.6,174,0,97,7127,2935,Matching,39.29338,-76.537638,Matching,Baltimore City Public Schools,Patterson High,Matching,194.8,136.9,7,5293.1,Matching,Matching
LA,Jefferson,22051,,41.9%,20002,2,83,71,77,0,43,12800,4858,Matching,29.85675,-90.105658,Matching,Jefferson Parish,Westbank Community School,Matching,62.5,40.25,47,3352,Matching,Matching
IN,Fulton,18049,1,41.9%,948,1,5,4,5,0,2,1976,872,Matching,41.055896,-86.223699,Matching,Rochester Community Sch Corp,Rochester Community Md Sch,Matching,4,1,5,143.1,Matching,Matching
IN,Kosciusko,18085,,41.3%,5060,3,20,18,8.03,0,10,9599,3838,Matching,41.409684,-85.854974,Matching,Wawasee Community School Corp,Milford School,Matching,9.5,6.75,21,747.79,Matching,Matching
UT,Duchesne,49013,,41.0%,2120,1,14,6.7,13,0,7,4400,1813,Matching,40.296142,-109.99853,Matching,DUCHESNE DISTRICT,ROOSEVELT JR HIGH,Matching,0,0,0,261.5,Matching,Matching
OH,Pickaway,39129,,40.8%,3737,4,19,12.75,4.97,0,6,8483,3510,Matching,39.513967,-82.785846,Matching,Logan Elm Local,Salt Creek Intermediate School,Matching,1.3,10.39,5.84,565.29,Matching,Matching
MN,Faribault,27043,,40.3%,1169,4,11,5.28,5.21,0,6,2231,951,Matching,43.767573,-94.167701,Matching,SOUTHERN PLAINS EDUCATION COOP.,SOUTHERN PLAINS AREA LEARNING CNTR.,Matching,7.75,1.99,5.23,233.17,Matching,Matching
MI,Gogebic,26053,,40.1%,750,4,6,7.5,1,0,1,1659,727,Matching,46.48194,-90.052092,Matching,Ironwood Area Schools of Gogebic County,Gogebic Co. Community Education,Matching,0,0,0.75,117.5,Matching,Matching
IL,Stark,17175,1,39.6%,363,2,5,2,3,0,1,842,340,Matching,41.09,-89.87,Matching,Stark County CUSD 100,Stark County High School,Matching,3.4,3.2,6.5,80.5,Matching,Matching
LA,Concordia,22029,,39.2%,1522,2,11,7,9,0,4,1923,622,Matching,31.574577,-91.453321,Matching,Concordia Parish,Vidalia High School,Matching,0,0,1,249,Matching,Matching
MS,Tallahatchie,28135,1,39.2%,807,2,5,2,4,0,2,297,82,Matching,34.009665,-90.048916,Matching,EAST TALLAHATCHIE CONSOL SCH DIST,CHARLESTON HIGH SCHOOL,Matching,0,0,4,141.98,Matching,Matching
CO,Prowers,8099,1,36.6%,723,3,10,3,1.54,0,3,781,276,Matching,38.084254,-102.62583,Matching,Lamar School District No. Re-2,WASHINGTON ELEMENTARY SCHOOL,Matching,0,0,1.58,151.98,Matching,Matching
MN,Olmsted,27109,,34.9%,8676,10,53,39.72,8.75,0,19,17373,5644,Matching,44.022906,-92.485991,Matching,ROCHESTER PUBLIC SCHOOL DISTRICT,Rochester Academy-Idp Living(RAIL),Matching,7.99,16.45,41.38,1526.02,Matching,Matching
KS,Miami,20121,,34.9%,1735,3,13,9,3,0,4,4490,1549,Matching,38.501153,-94.963097,Matching,Osawatomie,Osawatomie High,Matching,5,2.64,6,321.5,Matching,Matching
AK,Anchorage,2020,,34.9%,16899,1,99,105.4,94,0,46,20983,8287,Matching,61.179413,-149.75987,Matching,Anchorage School District,Benson Secondary/S.E.A.R.C.H.,Matching,3,0.05,84.4,2815.4,Matching,Matching
UT,Sevier,49041,,34.2%,1590,1,12,5.95,3.65,0,3,4182,1479,Matching,38.767777,-112.09335,Matching,SEVIER DISTRICT,RICHFIELD HIGH,Matching,0,0,1.24,195.14,Matching,Matching
LA,Pointe Coupee,22077,1,34.2%,1010,1,5,4,5,0,2,981,252,Matching,30.60992,-91.373335,Matching,Pointe Coupee Parish,Rougon Elementary School,Matching,3,0,3.5,187.85,Matching,Matching
TX,Camp,48063,1,33.8%,836,1,5,4,4,0,2,962,305,Matching,32.993264,-94.97266,Matching,PITTSBURG ISD,PITTSBURG H S,Matching,0,0,3,200,Matching,Matching
IN,Cass,18017,,33.7%,2091,3,11,11,7,0,4,4067,1072,Matching,40.749767,-86.332291,Matching,Logansport Community Sch Corp,Logansport Comm High School,Matching,4,2,10.5,382.5,Matching,Matching
IN,Howard,18067,,33.4%,4565,5,25,21,20.51,0,9,10498,3213,Matching,40.47,-86.11,Matching,Taylor Community School Corporation,Taylor Middle School,Matching,15,5,25,811.89,Matching,Matching
IN,Morgan,18109,,33.3%,3764,4,22,18,10.58,0,8,10579,3524,Matching,39.575392,-86.478159,Matching,Monroe-Gregg School District,Monrovia High School,Matching,2,6.3,15.14,648,Matching,Matching
MI,Arenac,26011,1,32.7%,717,4,10,3.7,0.44,0,2,2059,692,Matching,44.011757,-83.960739,Matching,Standish-Sterling Community Schools,Standish-Sterling Middle School,Matching,0,0,0,112.29,Matching,Matching
IN,Daviess,18027,,32.2%,1481,3,11,7.5,2.2,0,4,3932,1090,Matching,38.87,-87.09,Matching,North Daviess Com Schools,North Daviess Jr-Sr High School,Matching,2,0,7,240,Matching,Matching
KS,Harvey,20079,,31.8%,1730,5,17,11.8,2.8,0,6,3932,1107,Matching,38.044586,-97.329754,Matching,Newton,Chisholm Middle School,Matching,8,3.5,5.7,428.95,Matching,Matching
NC,Clay,37043,1,31.8%,435,1,3,2,6,0,1,1224,397,Matching,35.040915,-83.815222,Matching,Clay County Schools,Hayesville High,Matching,0,2,6,100.78,Matching,Matching
KY,Perry,21193,,31.7%,1663,2,16,8,11,0,5,4957,1589,Matching,37.263599,-83.192997,Matching,Hazard Independent,Hazard Middle School,Matching,5,0,7.61,330.49,Matching,Matching
IN,Jackson,18071,,31.7%,2259,4,15,12,4.99,0,5,5685,1496,Matching,38.883882,-86.04744,Matching,Brownstown Cnt Com Sch Corp,Brownstown Central High School,Matching,4,0,7.99,402.1,Matching,Matching
CA,Colusa,6011,,31.4%,1517,6,21,7,4,0,5,987,138,Matching,39.152168,-122.154585,Matching,Williams Unified,Williams Upper Elementary,Matching,0.9,1.8,2.6,242.86,Matching,Matching
MS,Marion,28091,,31.2%,1186,2,9,7,6,0,3,1974,672,Matching,31.249237,-89.812264,Matching,COLUMBIA SCHOOL DISTRICT,COLUMBIA HIGH SCHOOL,Matching,0,0.5,4.5,273,Matching,Matching
UT,Utah,49049,,31.1%,41798,31,176,180.28,31.92,0,71,108590,33038,Matching,40.2969,-111.6946,Matching,ALPINE DISTRICT,POLARIS HIGH SCHOOL,Matching,14.22,60.72,29.38,5775.32,Matching,Matching
MN,Martin,27091,1,31.0%,939,4,10,4,2,0,1,2635,772,Matching,43.825446,-94.432687,Matching,TRUMAN PUBLIC SCHOOL DISTRICT,TRUMAN SECONDARY,Matching,4,1,3.3,209.76,Matching,Matching
MN,Renville,27129,1,31.0%,789,4,10,3.6,3,0,3,1942,543,Matching,44.525846,-94.714436,Matching,G.f.W.,G.f.W. MIDDLE SCHOOL,Matching,6.1,2.95,4.65,188.18,Matching,Matching
KY,Whitley,21235,,30.7%,2809,3,20,10.5,5.02,0,8,8793,2711,Matching,36.73558,-84.168473,Matching,Williamsburg Independent,Williamsburg City School,Matching,0.14,5,13,586.25,Matching,Matching
MI,Monroe,26115,,30.4%,6865,13,48,30.87,17.85,0,15,19959,5700,Matching,41.766864,-83.702253,Matching,Whiteford Agricultural School District of the Counties of Lenawee and Monroe,Whiteford High School,Matching,15.4,9.25,6.9,1202.46,Matching,Matching
IN,Warrick,18173,,30.4%,3085,1,16,17,9.7,0,7,9157,2689,Matching,38.041324,-87.280574,Matching,Warrick County School Corp,Boonville Middle School,Matching,11.4,8.65,12.65,561.9,Matching,Matching
CO,Fremont,8043,,30.1%,1568,3,15,11.62,7.87,0,6,4188,1254,Matching,38.39,-105.13,Matching,Fremont Re-2,FLORENCE HIGH SCHOOL,Matching,1,5.16,5.5,331.39,Matching,Matching
OH,Perry,39127,,30.0%,1796,5,15,9,6.2,0,5,5856,1745,Matching,39.728462,-82.211683,Matching,New Lexington City,New Lexington High School,Matching,2,3.2,7.2,397.45,Matching,Matching
MN,Mahnomen,27087,1,29.6%,322,3,8,4,5,0,1,171,43,Matching,47.188239,-95.939367,Matching,WAUBUN-OGEMA-WHITE EARTH PUBLIC SCH,WAUBUN SECONDARY,Matching,2,3,2,100.83,Matching,Matching
MN,Morrison,27097,,29.4%,1790,6,22,6.1,0.99,0,5,5653,1595,Matching,45.91,-94.64,Matching,SWANVILLE PUBLIC SCHOOL DISTRICT,SWANVILLE SECONDARY,Matching,11.2,1.07,13.13,636,Matching,Matching
NY,Yates,36123,,28.5%,629,2,5,9,3,0,1,2042,580,Matching,42.666107,-77.058882,Matching,PENN YAN CENTRAL SCHOOL DISTRICT,PENN YAN MIDDLE SCHOOL,Matching,5,10,10,220,Matching,Matching
NY,Sullivan,36105,,28.5%,2707,9,19,32.5,9.1,0,5,5695,1331,Matching,41.795374,-74.747136,Matching,SULLIVAN BOCES,Rubin Pollack Education Center,Matching,26,21.4,20.5,949.72,Matching,Matching
FL,Gulf,12045,1,27.9%,542,1,4,2,2,0,1,1525,403,Matching,29.788931,-85.29045,Matching,GULF,PORT ST. JOE HIGH SCHOOL,Matching,0,0,0,105.97,Matching,Matching
MN,Isanti,27059,,27.3%,1597,2,13,7,2.85,0,5,5254,1409,Matching,45.575748,-93.203026,Matching,RUM RIVER SPECIAL EDUCATION COOP,RUM RIVER EAST EDUCATION PROGRAM,Matching,2,0.6,4.2,404.69,Matching,Matching
NY,Cayuga,36011,,27.2%,2903,8,24,24.6,11,0,7,9354,2380,Matching,42.924474,-76.579627,Matching,AUBURN CITY SCHOOL DISTRICT,GENESEE STREET ELEMENTARY SCHOOL,Matching,10.6,32.9,24.5,836.11,Matching,Matching
TX,Gonzales,48177,1,27.1%,1154,3,10,3,3,0,2,906,293,Matching,29.68,-97.28,Matching,WAELDER ISD,WAELDER SCHOOL,Matching,0,1,8,301.42,Matching,Matching
IN,Shelby,18145,,27.0%,2050,4,16,12.2,17,0,3,6547,1596,Matching,39.453248,-85.661404,Matching,Shelby Eastern Schools,Waldron Jr-Sr High School,Matching,4,8.45,9.01,448.8,Matching,Matching
KS,Pottawatomie,20149,,26.9%,1023,3,12,7.8,5,0,3,3333,930,Matching,39.21595,-96.316815,Matching,Wamego,Wamego Middle School,Matching,3,2.5,2.5,278.6,Matching,Matching
MN,Douglas,27041,,26.7%,1436,4,17,5.93,4,0,2,4979,1304,Matching,45.861009,-95.395722,Matching,RUNESTONE AREA ED. DISTRICT,SOAR (Students Optimizing Academics & Relationships),Matching,6.5,3,2.99,303.56,Matching,Matching
IN,Benton,18007,1,25.8%,480,1,4,3,1.25,0,1,1627,421,Matching,40.566062,-87.247566,Matching,Benton Community School Corp,Prairie Crossing Elementary School,Matching,0,0,3.5,118.5,Matching,Matching
MS,George,28039,,25.6%,1023,1,8,6,8,0,3,3449,837,Matching,30.919393,-88.600631,Matching,GEORGE CO SCHOOL DIST,GEORGE COUNTY MIDDLE SCHOOL,Matching,0,0,6.5,310,Matching,Matching
IL,De Witt,17039,,25.6%,637,2,7,5,1.67,0,3,2236,558,Matching,40.247759,-88.646098,Matching,Blue Ridge CUSD 18,Blue Ridge High School,Matching,0.5,0,2.5,182,Matching,Matching
LA,De Soto,22031,,25.5%,1324,1,9,7,9,0,2,2703,497,Matching,32.234125,-93.827838,Matching,DeSoto Parish,North DeSoto High School,Matching,0,0,6.83,377,Matching,Matching
IN,Knox,18083,,25.5%,1312,3,11,9,7,0,4,4769,1156,Matching,38.648611,-87.501606,Matching,Vincennes Community Sch Corp,George Rogers Clark School,Matching,6,3.5,11,312.88,Matching,Matching
KY,Spencer,21215,1,25.4%,722,1,5,4,5,0,2,2582,656,Matching,38.039163,-85.337154,Matching,Spencer County,Spencer County High School,Matching,0,8,4,163,Matching,Matching
DC,"Washington, D.C.",11001,,25.1%,20457,56,209,234.75,153.61,0,60,8401,3140,Matching,38.892439,-76.97898,Matching,District of Columbia Public Schools,Eliot-Hine MS,Matching,223.25,198.48,154.11,6686.26,Matching,Matching
CO,Park,8093,1,25.0%,499,2,9,4.28,4.33,0,1,1659,412,Matching,39.224062,-105.99938,Matching,Park County School District No. Re-2,SOUTH PARK MIDDLE SCHOOL,Matching,0.5,0.69,2.5,120.03,Matching,Matching
NY,Putnam,36079,,24.7%,3566,6,21,39.5,15.5,0,6,10571,2454,Matching,41.441978,-73.603377,Matching,BREWSTER CENTRAL SCHOOL DISTRICT,BREWSTER HIGH SCHOOL,Matching,18,30,24,1155.24,Matching,Matching
KY,Laurel,21125,,24.6%,2288,2,17,12,9,0,5,8861,2213,Matching,37.103601,-84.072114,Matching,Laurel County,McDaniel Learning Center,Matching,0,8.35,8.66,494.5,Matching,Matching
KY,Mason,21161,1,24.4%,693,1,4,4,4,0,1,2350,571,Matching,38.63,-83.79,Matching,Mason County,Mason County Middle School,Matching,0,2,4,166.3,Matching,Matching
KS,Kearny,20093,1,24.0%,205,2,6,3,3.5,0,3,432,54,Matching,37.94,-101.26,Matching,Lakin,Lakin Middle,Matching,0,1.83,2.83,78,Matching,Matching
MI,Oscoda,26135,1,23.8%,191,2,3,1.85,2,0,1,756,181,Matching,44.652266,-84.145436,Matching,Mio-AuSable Schools,Mio-AuSable High School,Matching,0,0,0,53,Matching,Matching
MS,Pearl River,28109,,23.7%,1994,3,18,11,15,0,5,6538,1616,Matching,30.609156,-89.669209,Matching,PEARL RIVER CO SCHOOL DIST,CENTER FOR ALTERNATIVE EDUCATION,Matching,7,0,15,575,Matching,Matching
OH,Monroe,39111,1,23.6%,374,1,7,4.3,1.25,0,2,1525,362,Matching,39.848135,-81.040889,Matching,Switzerland of Ohio Local,Beallsville High School,Matching,0,1.6,3.36,129.3,Matching,Matching
OH,Jackson,39079,,23.5%,1210,4,12,7,8,0,4,4953,1147,Matching,39.134524,-82.534975,Matching,Wellston City,Wellston High School,Matching,2,7,5.1,356,Matching,Matching
IL,Randolph,17157,,23.3%,898,6,12,7.34,3,0,2,3393,677,Matching,37.919225,-89.813463,Matching,Chester CUSD 139,Chester High School,Matching,6.3,0.2,5,297.01,Matching,Matching
MN,Sherburne,27141,,23.1%,3927,4,30,24.13,11.7,0,7,14758,3406,Matching,45.293661,-93.548601,Matching,SPECTRUM HIGH SCHOOL,SPECTRUM MIDDLE SCHOOL,Matching,21.9,7.4,3.05,1060.44,Matching,Matching
IL,Coles,17029,,22.9%,1513,4,16,11,4,0,2,5746,1298,Matching,39.38,-88.31,Matching,Clk/Cls/Cmbn/Dglas/Edgr/Mltr/Shlb,Lerna Bridges,Matching,8.5,6.25,10.75,439.5,Matching,Matching
MS,Harrison,28047,,22.9%,7471,6,50,57,38.67,0,13,17210,3397,Matching,30.406851,-89.100241,Matching,HARRISON CO SCHOOL DIST,NORTH GULFPORT 7TH GRADE,Matching,18,3.1,52.6,2098.1,Matching,Matching
MN,Mille Lacs,27095,,22.9%,1467,6,16,10,5,0,3,5586,1167,Matching,45.754541,-93.654464,Matching,RUM RIVER SPECIAL EDUCATION COOP,RUM RIVER NORTH,Matching,9.5,5,14.7,414.95,Matching,Matching
MN,Wabasha,27157,,22.8%,868,3,11,9,7.5,0,3,3398,759,Matching,44.309517,-92.001672,Matching,HIAWATHA VALLEY ED. DISTRICT,RIVER VALLEY ACADEMY ALC,Matching,4.4,3.5,4.77,284.48,Matching,Matching
VA,Middlesex,51119,1,22.8%,284,1,3,3,3,0,1,894,208,Matching,37.607838,-76.602272,Matching,MIDDLESEX CO PBLC SCHS,MIDDLESEX HIGH,Matching,0.99,0.99,3,90,Matching,Matching
FL,Taylor,12123,,22.5%,607,1,6,5,3,0,1,1824,382,Matching,30.07512,-83.567988,Matching,TAYLOR,TAYLOR TECHNICAL INSTITUTE,Matching,1,0,0,183,Matching,Matching
MN,Pine,27115,,22.5%,878,4,13,6.6,1.93,0,3,3349,804,Matching,46.320109,-92.836754,Matching,WILLOW RIVER PUBLIC SCHOOL DISTRICT,WILLOW RIVER SECONDARY,Matching,3.35,6,6.08,286.59,Matching,Matching
LA,East Carroll,22035,1,22.3%,235,1,3,1,2,0,1,4,0,Matching,32.84,-91.22,Matching,East Carroll Parish,Griffin Middle School Academy,Matching,1,1,1,64,Matching,Matching
MS,Jefferson Davis,28065,1,22.3%,359,1,5,4,4,0,1,179,70,Matching,31.60146,-89.868872,Matching,JEFFERSON DAVIS CO SCHOOL DIST,PRENTISS SENIOR HIGH SCHOOL,Matching,1,0,0,121,Matching,Matching
OH,Wyandot,39175,,22.0%,558,3,8,5.02,5,0,3,2315,507,Matching,40.950298,-83.377848,Matching,Carey Exempted Village,Carey High School,Matching,0,0.63,0.45,164.54,Matching,Matching
